symbol,datetime,settleTime,fundingRate,price,volume,amount,marketCap,FDV,circRatio,turnoverRatio,fromATH(%),fromATL(%),openInterest,circulation,issue,volume24h
BIGTIME,2024-09-05 15:00:00,1725523200000,-0.006426,0.0781,2607480.0,21153323.15,153102150.23,390500000.0,0.3921,0.0869,-92.05,89.29,,1960334830.0382063,5000000000.0,13309038.54206409
BIGTIME,2025-04-03 15:00:00,1743667200000,-0.008903,0.05954,1239427.0,7526825.959,116718335.78,297700000.0,0.3921,0.114,-93.94,44.3,,1960334830.0382063,5000000000.0,13309038.54206409
BIGTIME,2025-04-17 23:00:00,1744905600000,-0.005011,0.076,1052884.0,7844338.36,148985447.08,380000000.0,0.3921,0.0893,-92.27,84.2,,1960334830.0382063,5000000000.0,13309038.54206409
BLAST,2025-01-24 15:00:00,1737705600000,-0.005493,0.006704,534987.0,355839.3635,296577883.54,670400000.0,0.4424,0.0327,-98.72,257.24,,44238944441.49544,100000000000.0,9702008.91734285
BANANAS31,2025-07-10 19:00:00,1752148800000,-0.02012,0.026178,279893.0,7579966.432,261780000.0,261780000.0,1.0,0.1251,-55.78,8120.24,,10000000000.0,10000000000.0,32749043.19910597
BAL,2025-04-08 15:00:00,1744099200000,-0.007444,0.79,15152749.0,1169794.9566,52833948.23,54934270.56,0.9618,0.541,-98.94,4.91,,66878415.47744587,69537051.34315366,28580746.70413829
BAL,2025-05-01 23:00:00,1746115200000,-0.006425,1.282,27023560.0,3584182.859,85738128.64,89146499.82,0.9618,0.3333,-98.29,70.24,,66878415.47744587,69537051.34315366,28580746.70413829
BAL,2025-05-17 23:00:00,1747497600000,-0.005001,1.209,3773748.0,459742.7535,80856004.31,84070295.07,0.9618,0.3535,-98.38,60.55,,66878415.47744587,69537051.34315366,28580746.70413829
AUCTION,2024-05-29 19:00:00,1716984000000,-0.017642,24.75,568073.0,14317472.68,150733642.48,189111710.79,0.7971,0.0669,-64.92,610.27,,6090248.18100565,7640877.20358214,10080645.22676209
BEAMX,2024-05-31 15:00:00,1717142400000,-0.009021,0.029429,590824.0,18676958.213,1455735036.66,1837370431.14,0.7923,0.0084,-33.63,671.64,,49466004168.0,62434008330.0,12198826.54954382
